,Close
2021-04-03,321.9
2021-04-04,349.55
2021-04-05,368.31
2021-04-06,403.06
2021-04-07,375.44
2021-04-08,418.15
2021-04-09,453.23
2021-04-10,471.7
2021-04-11,525.43
2021-04-12,596.96
2021-04-13,550.42
2021-04-14,549.17
2021-04-15,542.41
2021-04-16,508.96
2021-04-17,515.4
2021-04-18,481.98
2021-04-19,504.46
2021-04-20,588.55
2021-04-21,543.71
2021-04-22,505.27
2021-04-23,527.13
2021-04-24,496.98
2021-04-25,505.45
2021-04-26,535.13
2021-04-27,569.46
2021-04-28,563.6
2021-04-29,600.65
2021-04-30,623.21
2021-05-01,620.66
2021-05-02,622.29
2021-05-03,676.62
2021-05-04,610.18
2021-05-05,652.13
2021-05-06,634.41
2021-05-07,624.81
2021-05-08,647.2
2021-05-09,662.8
2021-05-10,631.89
2021-05-11,672.46
2021-05-12,591.57
2021-05-13,571.06
2021-05-14,603.21
2021-05-15,563.64
2021-05-16,564.21
2021-05-17,512.11
2021-05-18,508.2
2021-05-19,336.57
2021-05-20,391.12
2021-05-21,326.5
2021-05-22,299.71
2021-05-23,261.63
2021-05-24,345.81
2021-05-25,343.49
2021-05-26,379.83
2021-05-27,369.51
2021-05-28,329.16
2021-05-29,305.2
2021-05-30,325.74
2021-05-31,353.89
2021-06-01,362.47
2021-06-02,401.7
2021-06-03,428.0
2021-06-04,390.73
2021-06-05,390.21
2021-06-06,393.78
2021-06-07,358.12
2021-06-08,352.92
2021-06-09,375.79
2021-06-10,351.99
2021-06-11,345.88
2021-06-12,343.87
2021-06-13,365.87
2021-06-14,370.17
2021-06-15,366.8
2021-06-16,347.26
2021-06-17,352.83
2021-06-18,337.38
2021-06-19,334.24
2021-06-20,339.11
2021-06-21,271.11
2021-06-22,261.92
2021-06-23,296.24
2021-06-24,308.38
2021-06-25,280.94
2021-06-26,279.57
2021-06-27,291.21
2021-06-28,290.0
2021-06-29,300.78
2021-06-30,303.57
2021-07-01,287.62
2021-07-02,287.22
2021-07-03,298.26
2021-07-04,307.82
2021-07-05,302.15
2021-07-06,320.29
2021-07-07,328.01
2021-07-08,310.27
2021-07-09,316.75
2021-07-10,316.12
2021-07-11,322.22
2021-07-12,316.1
2021-07-13,308.94
2021-07-14,309.41
2021-07-15,315.71
2021-07-16,303.04
2021-07-17,300.59
2021-07-18,302.11
2021-07-19,280.36
2021-07-20,264.55
2021-07-21,292.97
2021-07-22,293.58
2021-07-23,299.24
2021-07-24,301.75
2021-07-25,302.88
2021-07-26,303.93
2021-07-27,313.73
2021-07-28,313.96
2021-07-29,317.13
2021-07-30,322.88
2021-07-31,332.58
2021-08-01,332.79
2021-08-02,330.72
2021-08-03,323.31
2021-08-04,334.84
2021-08-05,338.19
2021-08-06,342.43
2021-08-07,356.51
2021-08-08,342.04
2021-08-09,354.68
2021-08-10,372.1
2021-08-11,391.21
2021-08-12,385.91
2021-08-13,411.25
2021-08-14,409.07
2021-08-15,414.39
2021-08-16,415.94
2021-08-17,401.71
2021-08-18,396.03
2021-08-19,431.09
2021-08-20,455.18
2021-08-21,449.12
2021-08-22,448.92
2021-08-23,499.5
2021-08-24,471.99
2021-08-25,503.4
2021-08-26,478.21
2021-08-27,494.66
2021-08-28,486.33
2021-08-29,479.97
2021-08-30,460.05
2021-08-31,464.42
2021-09-01,489.87
2021-09-02,483.69
2021-09-03,488.64
2021-09-04,497.71
2021-09-05,504.69
2021-09-06,496.32
2021-09-07,418.26
2021-09-08,414.95
2021-09-09,421.29
2021-09-10,401.39
2021-09-11,404.98
2021-09-12,416.93
2021-09-13,399.03
2021-09-14,414.71
2021-09-15,431.27
2021-09-16,424.3
2021-09-17,406.51
2021-09-18,410.63
2021-09-19,408.56
2021-09-20,363.86
2021-09-21,344.24
2021-09-22,379.09
2021-09-23,383.86
2021-09-24,355.23
2021-09-25,349.82
2021-09-26,344.16
2021-09-27,335.81
2021-09-28,333.28
2021-09-29,367.46
2021-09-30,387.47
2021-10-01,421.58
2021-10-02,427.4
2021-10-03,430.64
2021-10-04,426.55
2021-10-05,442.51
2021-10-06,435.1
2021-10-07,438.39
2021-10-08,419.47
2021-10-09,422.0
2021-10-10,404.39
2021-10-11,413.42
2021-10-12,444.57
2021-10-13,470.45
2021-10-14,472.73
2021-10-15,474.16
2021-10-16,465.85
2021-10-17,471.0
2021-10-18,484.97
2021-10-19,488.03
2021-10-20,501.47
2021-10-21,471.13
2021-10-22,479.09
2021-10-23,485.55
2021-10-24,475.88
2021-10-25,485.0
2021-10-26,478.09
2021-10-27,448.6
2021-10-28,492.44
2021-10-29,530.21
2021-10-30,528.72
2021-10-31,524.94
2021-11-01,551.71
2021-11-02,554.94
2021-11-03,568.77
2021-11-04,559.5
2021-11-05,607.77
2021-11-06,637.58
2021-11-07,649.78
2021-11-08,653.81
2021-11-09,635.14
2021-11-10,614.68
2021-11-11,628.89
2021-11-12,627.0
2021-11-13,649.81
2021-11-14,650.98
2021-11-15,634.01
2021-11-16,589.16
2021-11-17,578.22
2021-11-18,532.02
2021-11-19,581.61
2021-11-20,604.73
2021-11-21,584.63
2021-11-22,559.84
2021-11-23,591.18
2021-11-24,590.75
2021-11-25,639.3
2021-11-26,587.42
2021-11-27,600.62
2021-11-28,611.95
2021-11-29,624.12
2021-11-30,622.23
2021-12-01,627.93
2021-12-02,620.69
2021-12-03,595.59
2021-12-04,569.2
2021-12-05,558.23
2021-12-06,587.99
2021-12-07,579.11
2021-12-08,607.83
2021-12-09,570.89
2021-12-10,553.52
2021-12-11,564.19
2021-12-12,570.73
2021-12-13,521.07
2021-12-14,528.6
2021-12-15,541.28
2021-12-16,526.08
2021-12-17,525.79
2021-12-18,534.23
2021-12-19,530.01
2021-12-20,523.85
2021-12-21,528.84
2021-12-22,533.74
2021-12-23,548.95
2021-12-24,542.08
2021-12-25,547.77
2021-12-26,546.52
2021-12-27,563.95
2021-12-28,534.24
2021-12-29,514.55
2021-12-30,518.56
2021-12-31,511.71
2022-01-01,527.5
2022-01-02,531.25
2022-01-03,511.89
2022-01-04,506.73
2022-01-05,473.76
2022-01-06,472.32
2022-01-07,447.7
2022-01-08,430.21
2022-01-09,438.79
2022-01-10,425.03
2022-01-11,463.38
2022-01-12,487.51
2022-01-13,475.57
2022-01-14,490.36
2022-01-15,494.66
2022-01-16,498.67
2022-01-17,475.45
2022-01-18,471.43
2022-01-19,462.11
2022-01-20,440.34
2022-01-21,384.09
2022-01-22,358.48
2022-01-23,384.29
2022-01-24,371.68
2022-01-25,385.29
2022-01-26,375.02
2022-01-27,390.12
2022-01-28,386.13
2022-01-29,389.49
2022-01-30,377.3
2022-01-31,374.75
2022-02-01,384.28
2022-02-02,367.26
2022-02-03,372.39
2022-02-04,399.68
2022-02-05,414.05
2022-02-06,420.34
2022-02-07,433.75
2022-02-08,408.09
2022-02-09,423.24
2022-02-10,414.79
2022-02-11,400.83
2022-02-12,403.6
2022-02-13,398.07
2022-02-14,403.71
2022-02-15,432.82
2022-02-16,427.59
2022-02-17,402.64
2022-02-18,399.39
2022-02-19,399.84
2022-02-20,380.68
2022-02-21,356.82
2022-02-22,374.49
2022-02-23,365.88
2022-02-24,360.45
2022-02-25,375.01
2022-02-26,373.86
2022-02-27,359.83
2022-02-28,396.03
2022-03-01,408.83
2022-03-02,409.32
2022-03-03,402.77
2022-03-04,374.15
2022-03-05,384.81
2022-03-06,374.84
2022-03-07,380.84
2022-03-08,381.48
2022-03-09,393.4
2022-03-10,372.27
2022-03-11,372.02
2022-03-12,372.46
2022-03-13,361.36
2022-03-14,373.49
2022-03-15,371.76
2022-03-16,385.68
2022-03-17,392.14
2022-03-18,397.44
2022-03-19,400.1
2022-03-20,390.87
2022-03-21,396.15
2022-03-22,404.31
2022-03-23,408.6
2022-03-24,414.39
2022-03-25,410.37
2022-03-26,416.23
2022-03-27,430.8
2022-03-28,430.15
2022-03-29,434.48
2022-03-30,442.0
2022-03-31,428.82
2022-04-01,447.8
2022-04-02,437.17
2022-04-03,450.26
2022-04-04,447.85
2022-04-05,444.61
2022-04-06,420.17
2022-04-07,436.34
2022-04-08,421.78
2022-04-09,426.93
2022-04-10,417.93
2022-04-11,394.3
2022-04-12,413.73
2022-04-13,423.35
2022-04-14,414.75
2022-04-15,417.39
2022-04-16,417.25
2022-04-17,406.71
2022-04-18,416.98
2022-04-19,422.49
2022-04-20,418.48
2022-04-21,405.0
2022-04-22,406.59
2022-04-23,401.08
2022-04-24,398.81
2022-04-25,404.29
2022-04-26,385.93
2022-04-27,391.41
2022-04-28,406.99
2022-04-29,392.92
2022-04-30,377.03
2022-05-01,390.1
2022-05-02,389.55
2022-05-03,383.8
2022-05-04,402.67
2022-05-05,378.35
2022-05-06,379.18
2022-05-07,365.33
2022-05-08,355.65
2022-05-09,296.3
2022-05-10,318.98
2022-05-11,270.59
2022-05-12,267.95
2022-05-13,290.48
2022-05-14,296.54
2022-05-15,312.06
2022-05-16,296.8
2022-05-17,305.81
2022-05-18,287.27
2022-05-19,306.58
2022-05-20,302.02
2022-05-21,311.97
2022-05-22,319.15
2022-05-23,316.69
2022-05-24,328.06
2022-05-25,325.28
2022-05-26,302.87
2022-05-27,301.28
2022-05-28,307.13
2022-05-29,305.73
2022-05-30,321.47
2022-05-31,320.61
2022-06-01,300.05
2022-06-02,308.32
2022-06-03,298.18
2022-06-04,301.14
2022-06-05,298.69
2022-06-06,294.81
2022-06-07,290.16
2022-06-08,288.31
2022-06-09,289.52
2022-06-10,285.97
2022-06-11,269.4
2022-06-12,254.81
2022-06-13,222.73
2022-06-14,222.76
2022-06-15,233.27
2022-06-16,210.02
2022-06-17,215.46
2022-06-18,196.74
2022-06-19,214.94
2022-06-20,216.31
2022-06-21,219.89
2022-06-22,213.97
2022-06-23,228.67
2022-06-24,240.05
2022-06-25,239.66
2022-06-26,233.73
2022-06-27,233.19
2022-06-28,226.59
2022-06-29,219.45
2022-06-30,219.48
2022-07-01,216.58
2022-07-02,217.86
2022-07-03,218.84
2022-07-04,231.25
2022-07-05,230.56
2022-07-06,238.36
2022-07-07,241.31
2022-07-08,240.45
2022-07-09,243.06
2022-07-10,234.47
2022-07-11,225.47
2022-07-12,220.23
2022-07-13,230.31
2022-07-14,238.38
2022-07-15,238.5
2022-07-16,249.76
2022-07-17,247.68
2022-07-18,264.18
2022-07-19,268.68
2022-07-20,258.27
2022-07-21,265.56
2022-07-22,262.59
2022-07-23,259.18
2022-07-24,261.35
2022-07-25,244.33
2022-07-26,249.43
2022-07-27,271.71
2022-07-28,277.34
2022-07-29,293.85
2022-07-30,287.81
2022-07-31,283.51
2022-08-01,283.5
2022-08-02,283.71
2022-08-03,298.25
2022-08-04,311.87
2022-08-05,315.95
2022-08-06,315.31
2022-08-07,322.79
2022-08-08,325.04
2022-08-09,324.59
2022-08-10,328.9
2022-08-11,323.9
2022-08-12,328.24
2022-08-13,324.29
2022-08-14,317.75
2022-08-15,319.58
2022-08-16,316.17
2022-08-17,306.88
2022-08-18,298.11
2022-08-19,279.11
2022-08-20,283.64
2022-08-21,301.88
2022-08-22,299.91
2022-08-23,299.15
2022-08-24,296.34
2022-08-25,301.46
2022-08-26,279.53
2022-08-27,277.81
2022-08-28,276.36
2022-08-29,286.02
2022-08-30,281.52
2022-08-31,279.12
2022-09-01,278.27
2022-09-02,277.45
2022-09-03,277.89
2022-09-04,279.13
2022-09-05,276.87
2022-09-06,262.3
2022-09-07,279.07
2022-09-08,280.66
2022-09-09,293.6
2022-09-10,296.73
2022-09-11,295.4
2022-09-12,294.11
2022-09-13,277.5
2022-09-14,279.36
2022-09-15,271.09
2022-09-16,274.89
2022-09-17,279.06
2022-09-18,266.39
2022-09-19,272.04
2022-09-20,266.39
2022-09-21,264.14
2022-09-22,275.37
2022-09-23,276.63
2022-09-24,274.54
2022-09-25,274.34
2022-09-26,276.24
2022-09-27,272.23
2022-09-28,281.63
2022-09-29,284.12
2022-09-30,284.84
2022-10-01,282.89
2022-10-02,284.79
2022-10-03,287.07
2022-10-04,296.37
2022-10-05,294.2
2022-10-06,287.12
2022-10-07,282.28
2022-10-08,276.35
2022-10-09,278.31
2022-10-10,271.7
2022-10-11,271.34
2022-10-12,270.95
2022-10-13,271.86
2022-10-14,269.53
2022-10-15,268.1
2022-10-16,272.53
2022-10-17,275.75
2022-10-18,273.18
2022-10-19,271.92
2022-10-20,268.93
2022-10-21,270.04
2022-10-22,270.44
2022-10-23,276.0
2022-10-24,274.23
2022-10-25,284.26
2022-10-26,290.65
2022-10-27,286.52
